nombre,whatsapp,email,provincia,website,telefonos_extra,emails_extra
Contacto,+506,info@viveromagiaverde.com,San José,https://vivero.cr/contacto/,,
Directorio Telefónico de Costa Rica,,,San José,https://cr.eldirectorio.co/,,
Páginas Blancas Costa Rica,+506,,San José,https://costaricatelefonos.com/paginas_blancas.htm,,
Guía Telefónica de Costa Rica,,,San José,https://www.abctelefonos.com/indice_costarica/,,
Escribanos,+506,info@te-contacto.com,San José,https://www.te-contacto.com/page3.html,,
Ofertas,+506,info@viveromagiaverde.com,San José,https://vivero.cr/ofertas/,,
Barrio Chino Donde Comprar Flores ArtificialCostaRica| TikTok,,,San José,https://www.tiktok.com/discover/barrio-chino-donde-comprar-flores-artificial-costa-rica,,
"Current Local Time inSanJose,CostaRica",,,San José,https://www.timeanddate.com/worldclock/costa-rica/san-jose,,
"CostaRica:SanJosé, intérêts touristiques et culturels",,,San José,https://costarica-nature.org/FRANCAIS/infos_touristiques_Costa_Rica/que_voir_que_faire/Sanjose.htm,,
CostaRicael mejor lugar para viajar después del Corona Virus,+506,info@costaricadentalteam.com,San José,https://costaricadentalteam.com/es/costa-rica-el-mejor-lugar-para-visitar-despues-de-la-pandemia/,,
Inter-American Court of Human Rights,+506,,San José,https://corteidh.or.cr/index.cfm?lang=en,,
CostaRica: volcán Poás lanza ceniza a más de 3 km de altura,,,San José,https://www.dw.com/es/costa-rica-volcán-poás-arroja-ceniza-a-más-de-3-km-de-altura/a-72305016,,
CostaRicaTours for Singles,,,San José,https://www.loveme.com/tour/costa-rica/,,
"Vivero Rio Frio: Vivero Productor de Plantas Ornamentales, Mayoreo y ...",,,Heredia,https://www.viveroriofrio.com/,,
"ViveroEl Zamorano -Heredia,CostaRica| Construinforme.com",+506,,Heredia,https://construinforme.com/ci/provider_anonview.php?PROODIVER_ID=1637,,
ViverosBaratos EnHeredia| TikTok,,,Heredia,https://www.tiktok.com/discover/viveros-baratos-en-heredia,,
"10 lugares que debes conocer en la provincia deHeredia,CostaRica",,,Heredia,https://www.urbanocotidiano.com/10-lugares-que-debes-conocer-en-la-provincia-de-heredia-costa-rica/,,
